,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5
0.1005,2.65566036,7.37264156,2.65566036,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,4.69811318,-0.01886792
0.1015,-2.06132074,-2.06132074,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1025,2.65566036,7.37264156,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1035,-2.06132074,-2.06132074,7.37264156,7.37264156,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1045,7.37264156,2.65566036,-2.06132074,2.65566036,7.37264156,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1055,2.65566036,7.37264156,7.37264156,7.37264156,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1065,7.37264156,2.65566036,2.65566036,7.37264156,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1075,2.65566036,7.37264156,2.65566036,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1085,2.65566036,-2.06132074,7.37264156,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1095,2.65566036,-2.06132074,2.65566036,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1105,7.37264156,-2.06132074,2.65566036,-2.06132074,2.65566036,-0.01886792,-0.01886792,-0.01886792,4.69811318,-0.01886792
0.1115,2.65566036,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1125,-2.06132074,2.65566036,7.37264156,-2.06132074,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1135,7.37264156,2.65566036,2.65566036,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1145,2.65566036,-2.06132074,2.65566036,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1155,2.65566036,7.37264156,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.1165,2.65566036,7.37264156,7.37264156,-2.06132074,7.37264156,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
