,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5
0.0735,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0745,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0755,8.00212942,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0765,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0775,8.00212942,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0785,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.0795,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,8.1927109,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0805,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0815,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0825,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0835,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.22661754,17.28362,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0845,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,8.1927109,-0.8981982
0.0855,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,8.1108108
0.0865,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0875,-1.08877968,8.00212942,8.00212942,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0885,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0895,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0905,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0915,-1.08877968,8.00212942,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,8.1108108
0.0925,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,8.1927109,-0.8981982
0.0935,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0945,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,8.86429156,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0955,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0965,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0975,-1.08877968,-1.08877968,-1.08877968,26.18394762,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0985,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,8.1927109,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0995,-1.08877968,-1.08877968,-1.08877968,-1.08877968,16.92923832,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1005,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1015,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1025,8.00212942,-1.08877968,8.00212942,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1035,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,8.1927109,-0.8981982
0.1045,-1.08877968,-1.08877968,-1.08877968,-1.08877968,16.92923832,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1055,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,8.1927109,-0.8981982
0.1065,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1075,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,8.1108108
0.1085,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.1095,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.1105,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,8.86429156,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1115,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,8.86429156,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1125,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1135,8.00212942,8.00212942,17.09303852,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,8.1927109,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1145,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1155,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1165,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1175,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,8.86429156,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.1185,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
